FID,Reader_ID,twentyfourhours,twentyfourhours.n,LOCATION_LATITUDE,LOCATION_LONGITUDE
11,anderson_mill_bethany," 25,19,11,12,9,10,16,41,57,77,95,100,101,101,102,89,86,68,80,81,57,57,46,25 ","[0.245098039215686,0.186274509803922,0.107843137254902,0.117647058823529,0.0882352941176471,0.0980392156862745,0.156862745098039,0.401960784313726,0.558823529411765,0.754901960784314,0.931372549019608,0.980392156862745,0.990196078431373,0.990196078431373,1,0.872549019607843,0.843137254901961,0.666666666666667,0.784313725490196,0.794117647058823,0.558823529411765,0.558823529411765,0.450980392156863,0.245098039215686]",30.4469604,-97.7977066
12,bartonsprings_robertelee," 25,19,17,7,6,12,13,27,64,90,106,132,135,136,137,140,134,146,118,103,96,69,38,35 ","[0.171232876712329,0.13013698630137,0.116438356164384,0.0479452054794521,0.0410958904109589,0.0821917808219178,0.089041095890411,0.184931506849315,0.438356164383562,0.616438356164384,0.726027397260274,0.904109589041096,0.924657534246575,0.931506849315068,0.938356164383562,0.958904109589041,0.917808219178082,1,0.808219178082192,0.705479452054795,0.657534246575342,0.472602739726027,0.26027397260274,0.23972602739726]",30.2647686,-97.7649841
13,benWhite_riverside," 58,55,47,29,20,42,74,90,74,102,113,124,123,135,126,113,96,129,117,100,104,101,94,61 ","[0.42962962962963,0.407407407407407,0.348148148148148,0.214814814814815,0.148148148148148,0.311111111111111,0.548148148148148,0.666666666666667,0.548148148148148,0.755555555555556,0.837037037037037,0.918518518518519,0.911111111111111,1,0.933333333333333,0.837037037037037,0.711111111111111,0.955555555555556,0.866666666666667,0.740740740740741,0.77037037037037,0.748148148148148,0.696296296296296,0.451851851851852]",30.21883,-97.69118
14,burleson_emma_browning," 4,5,3,1,5,8,16,30,29,38,36,39,42,37,53,38,36,43,48,39,39,39,24,25 ","[0.0754716981132075,0.0943396226415094,0.0566037735849057,0.0188679245283019,0.0943396226415094,0.150943396226415,0.30188679245283,0.566037735849057,0.547169811320755,0.716981132075472,0.679245283018868,0.735849056603774,0.792452830188679,0.69811320754717,1,0.716981132075472,0.679245283018868,0.811320754716981,0.905660377358491,0.735849056603774,0.735849056603774,0.735849056603774,0.452830188679245,0.471698113207547]",30.1731625,-97.6705399
15,burnet_45th," 25,16,14,5,7,6,17,26,41,80,74,100,101,123,118,98,102,76,80,91,50,60,34,30 ","[0.203252032520325,0.130081300813008,0.113821138211382,0.040650406504065,0.0569105691056911,0.0487804878048781,0.138211382113821,0.211382113821138,0.333333333333333,0.650406504065041,0.601626016260163,0.813008130081301,0.821138211382114,1,0.959349593495935,0.796747967479675,0.829268292682927,0.617886178861789,0.650406504065041,0.739837398373984,0.40650406504065,0.48780487804878,0.276422764227642,0.24390243902439]",30.3154011,-97.7415695
16,burnet_anderson," 26,22,12,14,11,14,17,51,92,130,144,142,167,178,167,132,118,105,113,105,94,84,59,42 ","[0.146067415730337,0.123595505617978,0.0674157303370786,0.0786516853932584,0.0617977528089888,0.0786516853932584,0.0955056179775281,0.286516853932584,0.51685393258427,0.730337078651685,0.808988764044944,0.797752808988764,0.938202247191011,1,0.938202247191011,0.741573033707865,0.662921348314607,0.589887640449438,0.634831460674157,0.589887640449438,0.528089887640449,0.471910112359551,0.331460674157303,0.235955056179775]",30.3561535,-97.730896
17,burnet_duval_loop1," 22,39,19,22,11,22,21,44,45,65,81,100,99,86,91,93,86,77,89,84,73,74,61,52 ","[0.22,0.39,0.19,0.22,0.11,0.22,0.21,0.44,0.45,0.65,0.81,1,0.99,0.86,0.91,0.93,0.86,0.77,0.89,0.84,0.73,0.74,0.61,0.52]",30.4078178,-97.7158508
18,burnet_koenig," 37,24,22,15,17,10,20,45,98,114,144,177,201,195,187,179,152,157,148,129,124,86,72,56 ","[0.18407960199005,0.119402985074627,0.109452736318408,0.0746268656716418,0.0845771144278607,0.0497512437810945,0.0995024875621891,0.223880597014925,0.487562189054726,0.567164179104478,0.716417910447761,0.880597014925373,1,0.970149253731343,0.930348258706468,0.890547263681592,0.756218905472637,0.781094527363184,0.736318407960199,0.641791044776119,0.616915422885572,0.427860696517413,0.358208955223881,0.278606965174129]",30.3348522,-97.7398224
19,burnet_us183," 62,35,43,21,21,26,62,103,159,185,168,171,238,208,214,212,194,178,160,133,135,137,104,77 ","[0.260504201680672,0.147058823529412,0.180672268907563,0.0882352941176471,0.0882352941176471,0.109243697478992,0.260504201680672,0.432773109243697,0.668067226890756,0.777310924369748,0.705882352941177,0.718487394957983,1,0.873949579831933,0.899159663865546,0.890756302521008,0.815126050420168,0.747899159663866,0.672268907563025,0.558823529411765,0.567226890756303,0.57563025210084,0.436974789915966,0.323529411764706]",30.3728848,-97.7264786
20,cap_tx_hwy_courtyard," 28,23,14,11,10,18,39,65,118,107,148,147,162,181,172,187,163,151,155,122,126,91,62,52 ","[0.149732620320856,0.122994652406417,0.0748663101604278,0.0588235294117647,0.053475935828877,0.0962566844919786,0.20855614973262,0.347593582887701,0.631016042780749,0.572192513368984,0.79144385026738,0.786096256684492,0.866310160427808,0.967914438502674,0.919786096256685,1,0.871657754010695,0.807486631016043,0.828877005347594,0.6524064171123,0.67379679144385,0.486631016042781,0.331550802139037,0.27807486631016]",30.352457,-97.7952881
