FID,Reader_ID,twentyfourhours,twentyfourhours.n,LOCATION_LATITUDE,LOCATION_LONGITUDE
66,Lamar_and_Manchca_Barton_skyway," 19,8,11,5,5,29,59,128,155,144,120,127,153,181,176,181,184,174,171,155,114,96,93,38 ","[0.103260869565217,0.0434782608695652,0.0597826086956522,0.0271739130434783,0.0271739130434783,0.157608695652174,0.320652173913043,0.695652173913043,0.842391304347826,0.782608695652174,0.652173913043478,0.690217391304348,0.831521739130435,0.983695652173913,0.956521739130435,0.983695652173913,1,0.945652173913043,0.929347826086957,0.842391304347826,0.619565217391304,0.521739130434783,0.505434782608696,0.206521739130435]",30.244257,-97.781395
67,lamar_barton_springs," 36,17,7,6,7,34,67,168,205,200,146,195,211,232,209,228,217,230,247,228,149,179,160,68 ","[0.145748987854251,0.0688259109311741,0.0283400809716599,0.0242914979757085,0.0283400809716599,0.137651821862348,0.271255060728745,0.680161943319838,0.82995951417004,0.809716599190283,0.591093117408907,0.789473684210526,0.854251012145749,0.939271255060729,0.846153846153846,0.923076923076923,0.878542510121457,0.931174089068826,1,0.923076923076923,0.603238866396761,0.724696356275304,0.647773279352227,0.275303643724696]",30.2608624,-97.758522
68,Lamar_Blue_Bonnet," 22,12,9,4,4,25,52,116,161,129,124,113,158,184,168,160,182,161,161,139,107,92,93,37 ","[0.119565217391304,0.0652173913043478,0.0489130434782609,0.0217391304347826,0.0217391304347826,0.135869565217391,0.282608695652174,0.630434782608696,0.875,0.701086956521739,0.673913043478261,0.614130434782609,0.858695652173913,1,0.91304347826087,0.869565217391304,0.989130434782609,0.875,0.875,0.755434782608696,0.581521739130435,0.5,0.505434782608696,0.201086956521739]",30.2469234,-97.7771835
69,lamar_braker," 31,28,28,26,31,57,144,286,241,197,181,226,236,242,254,240,288,260,217,206,157,120,100,64 ","[0.107638888888889,0.0972222222222222,0.0972222222222222,0.0902777777777778,0.107638888888889,0.197916666666667,0.5,0.993055555555556,0.836805555555556,0.684027777777778,0.628472222222222,0.784722222222222,0.819444444444444,0.840277777777778,0.881944444444444,0.833333333333333,1,0.902777777777778,0.753472222222222,0.715277777777778,0.545138888888889,0.416666666666667,0.347222222222222,0.222222222222222]",30.3819351,-97.6863708
70,Lamar_BrodieOaks," 10,4,5,4,8,17,46,111,121,117,115,124,159,163,157,168,175,155,137,131,113,98,69,36 ","[0.0571428571428571,0.0228571428571429,0.0285714285714286,0.0228571428571429,0.0457142857142857,0.0971428571428571,0.262857142857143,0.634285714285714,0.691428571428571,0.668571428571429,0.657142857142857,0.708571428571429,0.908571428571429,0.931428571428571,0.897142857142857,0.96,1,0.885714285714286,0.782857142857143,0.748571428571429,0.645714285714286,0.56,0.394285714285714,0.205714285714286]",30.2362595,-97.7925873
71,lamar_koenig," 23,20,17,15,11,46,132,203,221,174,184,183,196,212,191,172,202,223,186,115,93,85,70,34 ","[0.103139013452915,0.0896860986547085,0.0762331838565022,0.0672645739910314,0.0493273542600897,0.20627802690583,0.591928251121076,0.910313901345291,0.991031390134529,0.780269058295964,0.825112107623318,0.820627802690583,0.878923766816143,0.95067264573991,0.856502242152466,0.771300448430493,0.905829596412556,1,0.834080717488789,0.515695067264574,0.417040358744395,0.381165919282511,0.31390134529148,0.152466367713004]",30.325943,-97.7263336
72,lamar_lamar_square," 24,11,9,5,4,23,46,100,113,115,113,115,151,143,138,163,132,148,152,125,106,101,94,40 ","[0.147239263803681,0.0674846625766871,0.0552147239263804,0.0306748466257669,0.0245398773006135,0.141104294478528,0.282208588957055,0.613496932515337,0.693251533742331,0.705521472392638,0.693251533742331,0.705521472392638,0.926380368098159,0.877300613496933,0.846625766871166,1,0.809815950920245,0.907975460122699,0.932515337423313,0.766871165644172,0.650306748466258,0.619631901840491,0.576687116564417,0.245398773006135]",30.2542477,-97.7625885
73,lamar_mlk," 17,11,9,5,4,16,62,115,170,142,118,127,112,154,147,164,189,198,156,85,70,63,80,38 ","[0.0858585858585859,0.0555555555555556,0.0454545454545455,0.0252525252525253,0.0202020202020202,0.0808080808080808,0.313131313131313,0.580808080808081,0.858585858585859,0.717171717171717,0.595959595959596,0.641414141414141,0.565656565656566,0.777777777777778,0.742424242424242,0.828282828282828,0.954545454545455,1,0.787878787878788,0.429292929292929,0.353535353535354,0.318181818181818,0.404040404040404,0.191919191919192]",30.2836018,-97.7520752
74,lamar_morrow," 18,16,8,5,10,27,67,151,163,145,117,137,151,176,168,156,205,191,172,102,88,61,56,40 ","[0.0878048780487805,0.0780487804878049,0.0390243902439024,0.024390243902439,0.0487804878048781,0.131707317073171,0.326829268292683,0.736585365853659,0.795121951219512,0.707317073170732,0.570731707317073,0.668292682926829,0.736585365853659,0.858536585365854,0.819512195121951,0.760975609756098,1,0.931707317073171,0.839024390243902,0.497560975609756,0.429268292682927,0.297560975609756,0.273170731707317,0.195121951219512]",30.3439732,-97.7149658
75,lamar_oltorf," 34,15,14,6,6,19,53,110,145,117,123,111,161,185,156,176,164,156,159,152,108,102,104,47 ","[0.183783783783784,0.0810810810810811,0.0756756756756757,0.0324324324324324,0.0324324324324324,0.102702702702703,0.286486486486487,0.594594594594595,0.783783783783784,0.632432432432432,0.664864864864865,0.6,0.87027027027027,1,0.843243243243243,0.951351351351351,0.886486486486487,0.843243243243243,0.859459459459459,0.821621621621622,0.583783783783784,0.551351351351351,0.562162162162162,0.254054054054054]",30.2484131,-97.7699509
76,lamar_parmer," 31,23,35,21,24,66,186,267,264,222,218,217,251,242,252,269,294,299,260,235,158,153,111,59 ","[0.103678929765886,0.0769230769230769,0.117056856187291,0.0702341137123746,0.0802675585284281,0.220735785953177,0.622073578595318,0.892976588628763,0.882943143812709,0.74247491638796,0.729096989966555,0.725752508361204,0.839464882943144,0.809364548494983,0.842809364548495,0.899665551839465,0.983277591973244,1,0.869565217391304,0.785953177257525,0.528428093645485,0.511705685618729,0.37123745819398,0.197324414715719]",30.4078522,-97.6782227
77,lamar_payton_gin," 34,23,12,15,19,32,111,191,155,140,122,130,153,157,151,173,187,185,196,140,136,102,80,62 ","[0.173469387755102,0.11734693877551,0.0612244897959184,0.076530612244898,0.0969387755102041,0.163265306122449,0.566326530612245,0.974489795918367,0.790816326530612,0.714285714285714,0.622448979591837,0.663265306122449,0.780612244897959,0.801020408163265,0.770408163265306,0.88265306122449,0.954081632653061,0.943877551020408,1,0.714285714285714,0.693877551020408,0.520408163265306,0.408163265306122,0.316326530612245]",30.3576469,-97.7001114
78,lamar_riverside," 24,15,11,4,9,24,55,144,176,162,121,133,145,165,153,178,174,201,187,166,104,139,130,42 ","[0.119402985074627,0.0746268656716418,0.054726368159204,0.0199004975124378,0.0447761194029851,0.119402985074627,0.27363184079602,0.716417910447761,0.875621890547264,0.805970149253731,0.601990049751244,0.661691542288557,0.721393034825871,0.82089552238806,0.761194029850746,0.885572139303483,0.865671641791045,1,0.930348258706468,0.825870646766169,0.517412935323383,0.691542288557214,0.646766169154229,0.208955223880597]",30.2645245,-97.757103
